Children's Hospital,Payer,Discharges,Days,Year,Color
NICKLAUS CHILDREN'S HOSPITAL,Other,357,2781,2018,"rgba(147, 205, 221, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Other,310,2726,2019,"rgba(147, 205, 221, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Medicaid FFS,277,2715,2020,"rgba(99, 37, 35, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Self Pay,974,2683,2016,"rgba(230, 185, 184, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Self Pay,786,2656,2017,"rgba(228, 108, 10, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Self Pay,987,2635,2019,"rgba(230, 185, 184, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Self Pay,1076,2519,2018,"rgba(79, 98, 40, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Self Pay,765,2478,2018,"rgba(228, 108, 10, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Other,368,2419,2016,"rgba(147, 205, 221, 1.0)"
JACKSON MEMORIAL HOSPITAL,Self Pay,486,2302,2018,"rgba(74, 69, 42, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Other State/Local Government,375,2280,2016,"rgba(204, 193, 218, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Medicaid FFS,388,2198,2016,"rgba(64, 49, 82, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Self Pay,855,2156,2016,"rgba(79, 98, 40, 1.0)"
ST MARY'S MEDICAL CENTER,Kidcare,315,2068,2016,"rgba(16, 37, 63, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Commercial Health Insurance,302,2062,2020,"rgba(85, 142, 213, 1.0)"
ADVENTHEALTH ORLANDO,Kidcare,352,2028,2020,"rgba(195, 214, 155, 1.0)"
ADVENTHEALTH ORLANDO,Self Pay,526,2000,2016,"rgba(195, 214, 155, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Commercial Health Insurance,466,1972,2016,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicaid Managed Care,481,1972,2020,"rgba(55, 96, 146, 1.0)"
JACKSON MEMORIAL HOSPITAL,Self Pay,437,1933,2017,"rgba(74, 69, 42, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicaid Managed Care,464,1930,2019,"rgba(55, 96, 146, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Self Pay,723,1927,2020,"rgba(230, 185, 184, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Self Pay,831,1902,2017,"rgba(79, 98, 40, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Commercial Health Insurance,382,1902,2017,"rgba(85, 142, 213, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Self Pay,427,1885,2016,"rgba(152, 72, 7, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Medicaid FFS,306,1874,2019,"rgba(64, 49, 82, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Commercial Health Insurance,346,1865,2019,"rgba(85, 142, 213, 1.0)"
JACKSON MEMORIAL HOSPITAL,Self Pay,409,1801,2016,"rgba(74, 69, 42, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Medicaid FFS,267,1800,2018,"rgba(64, 49, 82, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Self Pay,369,1795,2018,"rgba(152, 72, 7, 1.0)"
UF HEALTH SHANDS HOSPITAL,Self Pay,431,1791,2019,"rgba(55, 96, 146, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Self Pay,844,1784,2019,"rgba(79, 98, 40, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Self Pay,592,1765,2019,"rgba(228, 108, 10, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Other,315,1765,2019,"rgba(230, 185, 184, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Commercial Health Insurance,419,1759,2020,"rgba(55, 96, 146, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Other State/Local Government,358,1746,2017,"rgba(204, 193, 218, 1.0)"
ADVENTHEALTH ORLANDO,Kidcare,303,1745,2017,"rgba(195, 214, 155, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Non-Payment,411,1741,2017,"rgba(228, 108, 10, 1.0)"
ADVENTHEALTH ORLANDO,Kidcare,336,1725,2018,"rgba(195, 214, 155, 1.0)"
TAMPA GENERAL HOSPITAL,TriCare or Other Federal Government,347,1725,2017,"rgba(89, 89, 89, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Kidcare,383,1707,2016,"rgba(147, 205, 221, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Commercial Health Insurance,445,1700,2018,"rgba(55, 96, 146, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Non-Payment,461,1665,2018,"rgba(228, 108, 10, 1.0)"
ST MARY'S MEDICAL CENTER,Kidcare,293,1652,2017,"rgba(16, 37, 63, 1.0)"
ADVENTHEALTH ORLANDO,Self Pay,539,1638,2019,"rgba(195, 214, 155, 1.0)"
TAMPA GENERAL HOSPITAL,Other,226,1632,2016,"rgba(89, 89, 89, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Commercial Health Insurance,346,1629,2018,"rgba(85, 142, 213, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Commercial Health Insurance,448,1619,2019,"rgba(55, 96, 146, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Non-Payment,250,1611,2020,"rgba(228, 108, 10, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Commercial Health Insurance,331,1605,2016,"rgba(85, 142, 213, 1.0)"
JACKSON MEMORIAL HOSPITAL,Self Pay,384,1598,2019,"rgba(74, 69, 42, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Commercial Health Insurance,437,1583,2017,"rgba(55, 96, 146, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Other State/Local Government,354,1574,2018,"rgba(204, 193, 218, 1.0)"
ST JOSEPHS HOSPITAL,TriCare or Other Federal Government,436,1546,2016,"rgba(85, 142, 213, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Medicaid FFS,325,1511,2017,"rgba(64, 49, 82, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Self Pay,452,1498,2017,"rgba(152, 72, 7, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicaid Managed Care,416,1487,2018,"rgba(55, 96, 146, 1.0)"
ARNOLD PALMER MEDICAL CENTER,TriCare or Other Federal Government,304,1482,2019,"rgba(79, 98, 40, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Kidcare,317,1479,2017,"rgba(147, 205, 221, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Kidcare,282,1467,2018,"rgba(147, 205, 221, 1.0)"
TAMPA GENERAL HOSPITAL,TriCare or Other Federal Government,460,1455,2019,"rgba(89, 89, 89, 1.0)"
TAMPA GENERAL HOSPITAL,TriCare or Other Federal Government,419,1425,2020,"rgba(89, 89, 89, 1.0)"
TAMPA GENERAL HOSPITAL,Other,208,1404,2017,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS HOSPITAL,Self Pay,414,1404,2018,"rgba(55, 96, 146, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicaid Managed Care,346,1403,2018,"rgba(152, 72, 7, 1.0)"
TAMPA GENERAL HOSPITAL,TriCare or Other Federal Government,396,1359,2018,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicaid Managed Care,422,1315,2017,"rgba(55, 96, 146, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Self Pay,242,1314,2019,"rgba(152, 72, 7, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicaid Managed Care,343,1312,2020,"rgba(152, 72, 7, 1.0)"
ADVENTHEALTH ORLANDO,Self Pay,496,1307,2018,"rgba(195, 214, 155, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Other,238,1296,2020,"rgba(230, 185, 184, 1.0)"
ARNOLD PALMER MEDICAL CENTER,TriCare or Other Federal Government,241,1272,2017,"rgba(79, 98, 40, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Medicare Managed Care,341,1256,2019,"rgba(64, 49, 82, 1.0)"
ST JOSEPHS HOSPITAL,TriCare or Other Federal Government,363,1232,2017,"rgba(85, 142, 213, 1.0)"
UF HEALTH SHANDS HOSPITAL,Self Pay,385,1200,2017,"rgba(55, 96, 146, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Medicare Managed Care,286,1198,2018,"rgba(64, 49, 82, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicaid Managed Care,344,1192,2016,"rgba(55, 96, 146, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicaid Managed Care,351,1120,2019,"rgba(152, 72, 7, 1.0)"
ST MARY'S MEDICAL CENTER,Kidcare,224,1120,2018,"rgba(16, 37, 63, 1.0)"
JACKSON MEMORIAL HOSPITAL,Self Pay,211,1119,2020,"rgba(74, 69, 42, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Self Pay,288,1087,2020,"rgba(228, 108, 10, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Kidcare,280,1081,2019,"rgba(147, 205, 221, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Self Pay,540,1062,2020,"rgba(79, 98, 40, 1.0)"
JACKSON MEMORIAL HOSPITAL,Other,40,1055,2016,"rgba(74, 69, 42, 1.0)"
TAMPA GENERAL HOSPITAL,Self Pay,423,1053,2018,"rgba(89, 89, 89, 1.0)"
ADVENTHEALTH ORLANDO,TriCare or Other Federal Government,125,1047,2018,"rgba(195, 214, 155, 1.0)"
ST JOSEPHS HOSPITAL,Self Pay,310,1047,2016,"rgba(85, 142, 213, 1.0)"
ADVENTHEALTH ORLANDO,Kidcare,251,1035,2019,"rgba(195, 214, 155, 1.0)"
TAMPA GENERAL HOSPITAL,Self Pay,361,1033,2017,"rgba(89, 89, 89, 1.0)"
ARNOLD PALMER MEDICAL CENTER,TriCare or Other Federal Government,278,1032,2020,"rgba(79, 98, 40, 1.0)"
TAMPA GENERAL HOSPITAL,TriCare or Other Federal Government,240,1017,2016,"rgba(89, 89, 89, 1.0)"
TAMPA GENERAL HOSPITAL,Self Pay,395,1015,2016,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS HOSPITAL,TriCare or Other Federal Government,167,989,2017,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS HOSPITAL,TriCare or Other Federal Government,135,987,2016,"rgba(55, 96, 146, 1.0)"
ADVENTHEALTH ORLANDO,Self Pay,449,975,2020,"rgba(195, 214, 155, 1.0)"
ST JOSEPHS HOSPITAL,Self Pay,301,972,2017,"rgba(85, 142, 213, 1.0)"
ARNOLD PALMER MEDICAL CENTER,TriCare or Other Federal Government,246,968,2018,"rgba(79, 98, 40, 1.0)"
UF HEALTH SHANDS HOSPITAL,Commercial Liability,146,968,2020,"rgba(55, 96, 146, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Self Pay,290,949,2020,"rgba(204, 193, 218, 1.0)"
TAMPA GENERAL HOSPITAL,Commercial Liability,93,934,2018,"rgba(89, 89, 89, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicare FFS,73,928,2016,"rgba(74, 69, 42, 1.0)"
TAMPA GENERAL HOSPITAL,Self Pay,386,920,2019,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS HOSPITAL,TriCare or Other Federal Government,159,920,2019,"rgba(55, 96, 146, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Medicare Managed Care,282,913,2017,"rgba(64, 49, 82, 1.0)"
UF HEALTH SHANDS HOSPITAL,Commercial Liability,139,907,2017,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS HOSPITAL,Self Pay,270,901,2016,"rgba(55, 96, 146, 1.0)"
ST JOSEPHS HOSPITAL,TriCare or Other Federal Government,249,892,2019,"rgba(85, 142, 213, 1.0)"
TAMPA GENERAL HOSPITAL,Commercial Liability,115,886,2017,"rgba(89, 89, 89, 1.0)"
TAMPA GENERAL HOSPITAL,Commercial Liability,84,876,2016,"rgba(89, 89, 89, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicare FFS,58,873,2017,"rgba(74, 69, 42, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Medicare Managed Care,215,868,2020,"rgba(64, 49, 82, 1.0)"
ADVENTHEALTH ORLANDO,Self Pay,320,859,2017,"rgba(195, 214, 155, 1.0)"
ST JOSEPHS HOSPITAL,TriCare or Other Federal Government,296,858,2018,"rgba(85, 142, 213, 1.0)"
UF HEALTH SHANDS HOSPITAL,TriCare or Other Federal Government,139,857,2020,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS HOSPITAL,Commercial Liability,146,846,2016,"rgba(55, 96, 146, 1.0)"
BAPTIST HOSPITAL OF MIAMI,TriCare or Other Federal Government,110,843,2019,"rgba(64, 49, 82, 1.0)"
UF HEALTH SHANDS HOSPITAL,Commercial Liability,119,842,2019,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS HOSPITAL,Self Pay,323,829,2020,"rgba(55, 96, 146, 1.0)"
ARNOLD PALMER MEDICAL CENTER,TriCare or Other Federal Government,230,827,2016,"rgba(79, 98, 40, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Self Pay,168,817,2020,"rgba(152, 72, 7, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Kidcare,225,799,2020,"rgba(147, 205, 221, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Medicaid FFS,182,794,2020,"rgba(64, 49, 82, 1.0)"
JACKSON MEMORIAL HOSPITAL,Other,37,786,2018,"rgba(74, 69, 42, 1.0)"
ST JOSEPHS HOSPITAL,TriCare or Other Federal Government,178,783,2020,"rgba(85, 142, 213, 1.0)"
ST MARY'S MEDICAL CENTER,Kidcare,113,775,2019,"rgba(16, 37, 63, 1.0)"
UF HEALTH SHANDS HOSPITAL,TriCare or Other Federal Government,140,771,2018,"rgba(55, 96, 146, 1.0)"
ADVENTHEALTH ORLANDO,Other State/Local Government,112,770,2018,"rgba(195, 214, 155, 1.0)"
ADVENTHEALTH ORLANDO,TriCare or Other Federal Government,123,758,2017,"rgba(195, 214, 155, 1.0)"
ST JOSEPHS HOSPITAL,Self Pay,250,756,2019,"rgba(85, 142, 213, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Other State/Local Government,35,753,2020,"rgba(147, 205, 221, 1.0)"
LEE MEMORIAL HOSPITAL,Commercial Liability,76,744,2017,"rgba(33, 89, 104, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Commercial Liability,119,730,2017,"rgba(79, 98, 40, 1.0)"
TAMPA GENERAL HOSPITAL,Other,121,729,2018,"rgba(89, 89, 89, 1.0)"
ST JOSEPHS HOSPITAL,Self Pay,279,728,2018,"rgba(85, 142, 213, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Commercial Liability,130,711,2016,"rgba(79, 98, 40, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Commercial Liability,104,710,2019,"rgba(79, 98, 40, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicaid FFS,130,699,2019,"rgba(152, 72, 7, 1.0)"
ADVENTHEALTH ORLANDO,TriCare or Other Federal Government,107,686,2020,"rgba(195, 214, 155, 1.0)"
ST MARY'S MEDICAL CENTER,Self Pay,249,684,2018,"rgba(16, 37, 63, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicare FFS,45,676,2018,"rgba(74, 69, 42, 1.0)"
ADVENTHEALTH ORLANDO,TriCare or Other Federal Government,101,636,2019,"rgba(195, 214, 155, 1.0)"
TAMPA GENERAL HOSPITAL,Commercial Liability,85,629,2019,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS HOSPITAL,Commercial Liability,104,623,2018,"rgba(55, 96, 146, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,TriCare or Other Federal Government,109,619,2017,"rgba(147, 205, 221, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,TriCare or Other Federal Government,99,588,2016,"rgba(147, 205, 221, 1.0)"
MEMORIAL REGIONAL HOSPITAL,TriCare or Other Federal Government,71,587,2017,"rgba(230, 185, 184, 1.0)"
ST MARY'S MEDICAL CENTER,Self Pay,219,583,2017,"rgba(16, 37, 63, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Commercial Liability,112,576,2018,"rgba(79, 98, 40, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicare FFS,44,575,2019,"rgba(74, 69, 42, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Commercial Liability,94,558,2020,"rgba(79, 98, 40, 1.0)"
LEE MEMORIAL HOSPITAL,Medicaid Managed Care,122,557,2018,"rgba(33, 89, 104, 1.0)"
MEMORIAL REGIONAL HOSPITAL,TriCare or Other Federal Government,77,540,2019,"rgba(230, 185, 184, 1.0)"
UF HEALTH SHANDS HOSPITAL,Kidcare,117,538,2019,"rgba(55, 96, 146, 1.0)"
LEE MEMORIAL HOSPITAL,Commercial Liability,88,531,2016,"rgba(33, 89, 104, 1.0)"
ADVENTHEALTH ORLANDO,TriCare or Other Federal Government,172,526,2016,"rgba(195, 214, 155, 1.0)"
TAMPA GENERAL HOSPITAL,Commercial Liability,105,525,2020,"rgba(89, 89, 89, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Commercial Liability,148,517,2019,"rgba(64, 49, 82, 1.0)"
ADVENTHEALTH ORLANDO,Other State/Local Government,130,514,2016,"rgba(195, 214, 155, 1.0)"
ST MARY'S MEDICAL CENTER,Kidcare,101,514,2020,"rgba(16, 37, 63, 1.0)"
ADVENTHEALTH ORLANDO,Medicare FFS,41,512,2019,"rgba(195, 214, 155, 1.0)"
ST MARY'S MEDICAL CENTER,Self Pay,204,507,2016,"rgba(16, 37, 63, 1.0)"
LEE MEMORIAL HOSPITAL,Medicaid Managed Care,139,482,2016,"rgba(33, 89, 104, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Other State/Local Government,29,482,2019,"rgba(147, 205, 221, 1.0)"
LEE MEMORIAL HOSPITAL,Medicaid Managed Care,119,478,2019,"rgba(33, 89, 104, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicare FFS,16,470,2020,"rgba(230, 185, 184, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicare FFS,34,467,2020,"rgba(74, 69, 42, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,TriCare or Other Federal Government,94,460,2020,"rgba(99, 37, 35, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicaid FFS,134,459,2018,"rgba(152, 72, 7, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,TriCare or Other Federal Government,95,453,2019,"rgba(147, 205, 221, 1.0)"
ST JOSEPHS HOSPITAL,Self Pay,167,453,2020,"rgba(85, 142, 213, 1.0)"
LEE MEMORIAL HOSPITAL,Commercial Liability,101,451,2020,"rgba(33, 89, 104, 1.0)"
JACKSON MEMORIAL HOSPITAL,Commercial Liability,23,446,2020,"rgba(74, 69, 42, 1.0)"
TAMPA GENERAL HOSPITAL,Self Pay,219,445,2020,"rgba(89, 89, 89, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Commercial Liability,40,439,2020,"rgba(228, 108, 10, 1.0)"
ST MARY'S MEDICAL CENTER,Self Pay,174,438,2019,"rgba(16, 37, 63, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,TriCare or Other Federal Government,158,434,2018,"rgba(152, 72, 7, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,TriCare or Other Federal Government,113,432,2018,"rgba(99, 37, 35, 1.0)"
TAMPA GENERAL HOSPITAL,Kidcare,49,420,2018,"rgba(89, 89, 89, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,TriCare or Other Federal Government,166,415,2019,"rgba(152, 72, 7, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,TriCare or Other Federal Government,169,415,2020,"rgba(152, 72, 7, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Commercial Liability,99,414,2018,"rgba(64, 49, 82, 1.0)"
ADVENTHEALTH ORLANDO,Non-Payment,86,404,2019,"rgba(195, 214, 155, 1.0)"
LEE MEMORIAL HOSPITAL,Commercial Health Insurance,75,401,2016,"rgba(33, 89, 104, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,TriCare or Other Federal Government,97,401,2019,"rgba(99, 37, 35, 1.0)"
LEE MEMORIAL HOSPITAL,Commercial Liability,94,400,2018,"rgba(33, 89, 104, 1.0)"
JACKSON MEMORIAL HOSPITAL,Other State/Local Government,65,399,2018,"rgba(74, 69, 42, 1.0)"
MEMORIAL REGIONAL HOSPITAL,TriCare or Other Federal Government,83,398,2016,"rgba(230, 185, 184, 1.0)"
LEE MEMORIAL HOSPITAL,Medicaid Managed Care,87,394,2020,"rgba(33, 89, 104, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Veterans Affairs,17,387,2016,"rgba(204, 193, 218, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicaid FFS,93,384,2016,"rgba(55, 96, 146, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Kidcare,129,381,2018,"rgba(79, 98, 40, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Kidcare,111,380,2017,"rgba(79, 98, 40, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Medicare FFS,42,377,2016,"rgba(147, 205, 221, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Self Pay,82,370,2016,"rgba(147, 205, 221, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicare FFS,44,370,2018,"rgba(55, 96, 146, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,TriCare or Other Federal Government,87,368,2016,"rgba(99, 37, 35, 1.0)"
UF HEALTH SHANDS HOSPITAL,Kidcare,77,368,2017,"rgba(55, 96, 146, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,TriCare or Other Federal Government,94,367,2017,"rgba(99, 37, 35, 1.0)"
BAPTIST HOSPITAL OF MIAMI,TriCare or Other Federal Government,53,366,2018,"rgba(64, 49, 82, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Other State/Local Government,61,366,2017,"rgba(85, 142, 213, 1.0)"
TAMPA GENERAL HOSPITAL,Medicare FFS,45,365,2016,"rgba(89, 89, 89, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Kidcare,96,363,2016,"rgba(79, 98, 40, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Self Pay,96,363,2017,"rgba(64, 49, 82, 1.0)"
LEE MEMORIAL HOSPITAL,Commercial Health Insurance,108,363,2019,"rgba(33, 89, 104, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Commercial Liability,40,359,2016,"rgba(228, 108, 10, 1.0)"
ADVENTHEALTH ORLANDO,Medicare FFS,39,356,2018,"rgba(195, 214, 155, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Self Pay,80,349,2020,"rgba(147, 205, 221, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,TriCare or Other Federal Government,51,349,2019,"rgba(85, 142, 213, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Kidcare,79,345,2020,"rgba(79, 98, 40, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Kidcare,62,345,2019,"rgba(228, 108, 10, 1.0)"
TAMPA GENERAL HOSPITAL,Kidcare,38,343,2017,"rgba(89, 89, 89, 1.0)"
ADVENTHEALTH ORLANDO,Other State/Local Government,84,341,2017,"rgba(195, 214, 155, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Self Pay,101,341,2016,"rgba(64, 49, 82, 1.0)"
UF HEALTH SHANDS HOSPITAL,Other State/Local Government,55,339,2017,"rgba(55, 96, 146, 1.0)"
ST MARY'S MEDICAL CENTER,Other State/Local Government,57,337,2018,"rgba(16, 37, 63, 1.0)"
BROWARD HEALTH MEDICAL CENTER,TriCare or Other Federal Government,26,332,2017,"rgba(228, 108, 10, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,TriCare or Other Federal Government,70,331,2018,"rgba(147, 205, 221, 1.0)"
LEE MEMORIAL HOSPITAL,Commercial Health Insurance,51,330,2017,"rgba(33, 89, 104, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicaid FFS,113,322,2020,"rgba(152, 72, 7, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Commercial Liability,49,322,2017,"rgba(228, 108, 10, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Commercial Liability,39,322,2018,"rgba(228, 108, 10, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Kidcare,57,322,2020,"rgba(228, 108, 10, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Self Pay,82,319,2017,"rgba(147, 205, 221, 1.0)"
JACKSON MEMORIAL HOSPITAL,TriCare or Other Federal Government,38,316,2018,"rgba(74, 69, 42, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Self Pay,129,314,2018,"rgba(152, 72, 7, 1.0)"
MEMORIAL REGIONAL HOSPITAL,TriCare or Other Federal Government,55,313,2020,"rgba(230, 185, 184, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Self Pay,85,310,2018,"rgba(64, 49, 82, 1.0)"
ADVENTHEALTH ORLANDO,Kidcare,107,308,2016,"rgba(195, 214, 155, 1.0)"
LEE MEMORIAL HOSPITAL,Medicaid FFS,30,307,2020,"rgba(33, 89, 104, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicaid FFS,76,307,2017,"rgba(55, 96, 146, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Self Pay,108,306,2019,"rgba(147, 205, 221, 1.0)"
ST MARY'S MEDICAL CENTER,TriCare or Other Federal Government,25,304,2019,"rgba(16, 37, 63, 1.0)"
UF HEALTH SHANDS HOSPITAL,Other State/Local Government,41,302,2020,"rgba(55, 96, 146, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Self Pay,111,301,2019,"rgba(204, 193, 218, 1.0)"
JACKSON MEMORIAL HOSPITAL,Commercial Liability,38,301,2016,"rgba(74, 69, 42, 1.0)"
JACKSON MEMORIAL HOSPITAL,TriCare or Other Federal Government,46,299,2017,"rgba(74, 69, 42, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicaid FFS,79,298,2018,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicaid FFS,51,298,2020,"rgba(55, 96, 146, 1.0)"
LEE MEMORIAL HOSPITAL,Commercial Liability,68,290,2019,"rgba(33, 89, 104, 1.0)"
LEE MEMORIAL HOSPITAL,Medicaid FFS,35,284,2019,"rgba(33, 89, 104, 1.0)"
JACKSON MEMORIAL HOSPITAL,Non-Payment,47,282,2018,"rgba(74, 69, 42, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,TriCare or Other Federal Government,44,281,2020,"rgba(85, 142, 213, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,TriCare or Other Federal Government,64,280,2020,"rgba(147, 205, 221, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicaid FFS,65,279,2019,"rgba(55, 96, 146, 1.0)"
